number,neighbor_count,bias_factor,effective_contacts,neighbors
1,3,1.000,3.0,2 7 8
2,5,1.000,5.0,1 3 7 8 9
3,5,1.000,5.0,2 4 8 9 10
4,5,1.000,5.0,3 5 9 10 11
5,5,1.000,5.0,4 6 10 11 12
6,3,1.000,3.0,5 11 12
7,5,1.000,5.0,1 2 8 13 14
8,8,1.000,8.0,1 2 3 7 9 13 14 15
9,8,1.000,8.0,2 3 4 8 10 14 15 16
10,8,1.000,8.0,3 4 5 9 11 15 16 17
11,8,1.000,8.0,4 5 6 10 12 16 17 18
12,5,1.000,5.0,5 6 11 17 18
13,5,1.000,5.0,7 8 14 19 20
14,8,1.000,8.0,7 8 9 13 15 19 20 21
15,8,1.000,8.0,8 9 10 14 16 20 21 22
16,8,1.000,8.0,9 10 11 15 17 21 22 23
17,8,1.000,8.0,10 11 12 16 18 22 23 24
18,5,1.000,5.0,11 12 17 23 24
19,5,1.000,5.0,13 14 20 25 26
20,8,1.000,8.0,13 14 15 19 21 25 26 27
21,8,1.000,8.0,14 15 16 20 22 26 27 28
22,8,1.000,8.0,15 16 17 21 23 27 28 29
23,8,1.000,8.0,16 17 18 22 24 28 29 30
24,5,1.000,5.0,17 18 23 29 30
25,5,1.000,5.0,19 20 26 31 32
26,8,1.000,8.0,19 20 21 25 27 31 32 33
27,8,1.000,8.0,20 21 22 26 28 32 33 34
28,8,1.000,8.0,21 22 23 27 29 33 34 35
29,8,1.000,8.0,22 23 24 28 30 34 35 36
30,5,1.000,5.0,23 24 29 35 36
31,5,1.000,5.0,25 26 32 37 38
32,8,1.000,8.0,25 26 27 31 33 37 38 39
33,7,1.000,7.0,26 27 28 32 34 38 39
34,6,1.000,6.0,27 28 29 33 35 39
35,5,1.000,5.0,28 29 30 34 36
36,3,1.000,3.0,29 30 35
37,3,1.000,3.0,31 32 38
38,5,1.000,5.0,31 32 33 37 39
39,4,1.000,4.0,32 33 34 38
